MELO3C008413.1	MELO3C008413
MELO3C013584.1	MELO3C013584
MELO3C008484.1	MELO3C008484
MELO3C030379.1	MELO3C030379
MELO3C033153.1	MELO3C033153
MELO3C014128.1	MELO3C014128
MELO3C017882.1	MELO3C017882
MELO3C001230.1	MELO3C001230
MELO3C023526.1	MELO3C023526
MELO3C022412.1	MELO3C022412
MELO3C009527.1	MELO3C009527
MELO3C013014.1	MELO3C013014
MELO3C007370.1	MELO3C007370
MELO3C013835.1	MELO3C013835
MELO3C032860.1	MELO3C032860
MELO3C001365.1	MELO3C001365
MELO3C032174.1	MELO3C032174
MELO3C018175.1	MELO3C018175
MELO3C016333.1	MELO3C016333
MELO3C024664.1	MELO3C024664
MELO3C029531.1	MELO3C029531
MELO3C028053.1	MELO3C028053
MELO3C004274.1	MELO3C004274
MELO3C009116.1	MELO3C009116
MELO3C018040.1	MELO3C018040
MELO3C003072.1	MELO3C003072
MELO3C033404.1	MELO3C033404
MELO3C022001.1	MELO3C022001
MELO3C011219.1	MELO3C011219
MELO3C034929.1	MELO3C034929
MELO3C017811.1	MELO3C017811
MELO3C031446.1	MELO3C031446
MELO3C009551.1	MELO3C009551
MELO3C003981.1	MELO3C003981
MELO3C022048.1	MELO3C022048
MELO3C020617.1	MELO3C020617
MELO3C029578.1	MELO3C029578
MELO3C026622.1	MELO3C026622
MELO3C005504.1	MELO3C005504
MELO3C000298.1	MELO3C000298
MELO3C030308.1	MELO3C030308
MELO3C014902.1	MELO3C014902
MELO3C019816.1	MELO3C019816
MELO3C003546.1	MELO3C003546
MELO3C018338.1	MELO3C018338
MELO3C016680.1	MELO3C016680
MELO3C005341.1	MELO3C005341
MELO3C026845.1	MELO3C026845
MELO3C010739.1	MELO3C010739
MELO3C005986.1	MELO3C005986
MELO3C032337.1	MELO3C032337
MELO3C033815.1	MELO3C033815
MELO3C027138.1	MELO3C027138
MELO3C024006.1	MELO3C024006
MELO3C017400.1	MELO3C017400
MELO3C022324.1	MELO3C022324
MELO3C001939.1	MELO3C001939
MELO3C023115.1	MELO3C023115
MELO3C018925.1	MELO3C018925
MELO3C032924.1	MELO3C032924
MELO3C032513.1	MELO3C032513
MELO3C007211.1	MELO3C007211
MELO3C027162.1	MELO3C027162
MELO3C010763.1	MELO3C010763
MELO3C011056.1	MELO3C011056
MELO3C028687.1	MELO3C028687
MELO3C027573.1	MELO3C027573
MELO3C020454.1	MELO3C020454
MELO3C004437.1	MELO3C004437
MELO3C026371.1	MELO3C026371
MELO3C004186.1	MELO3C004186
MELO3C008002.1	MELO3C008002
MELO3C010105.1	MELO3C010105
MELO3C014199.1	MELO3C014199
MELO3C019066.1	MELO3C019066
MELO3C007282.1	MELO3C007282
MELO3C033288.1	MELO3C033288
MELO3C023550.1	MELO3C023550
MELO3C009304.1	MELO3C009304
MELO3C027736.1	MELO3C027736
MELO3C031722.1	MELO3C031722
MELO3C003893.1	MELO3C003893
MELO3C017447.1	MELO3C017447
MELO3C028938.1	MELO3C028938
MELO3C015677.1	MELO3C015677
MELO3C022982.1	MELO3C022982
MELO3C024417.1	MELO3C024417
MELO3C000574.1	MELO3C000574
MELO3C014726.1	MELO3C014726
MELO3C034179.1	MELO3C034179
MELO3C005388.1	MELO3C005388
MELO3C009962.1	MELO3C009962
MELO3C014786.1	MELO3C014786
MELO3C018773.1	MELO3C018773
MELO3C028029.1	MELO3C028029
MELO3C003822.1	MELO3C003822
MELO3C024488.1	MELO3C024488
MELO3C009375.1	MELO3C009375
MELO3C033241.1	MELO3C033241
MELO3C009204.1	MELO3C009204
MELO3C008636.1	MELO3C008636
MELO3C005915.1	MELO3C005915
MELO3C022395.1	MELO3C022395
MELO3C024317.1	MELO3C024317
MELO3C031793.1	MELO3C031793
MELO3C033886.1	MELO3C033886
MELO3C029889.1	MELO3C029889
MELO3C032613.1	MELO3C032613
MELO3C014304.1	MELO3C014304
MELO3C035011.1	MELO3C035011
MELO3C001952.1	MELO3C001952
MELO3C034044.1	MELO3C034044
MELO3C024066.1	MELO3C024066
MELO3C034079.1	MELO3C034079
MELO3C011930.1	MELO3C011930
MELO3C030990.1	MELO3C030990
MELO3C008660.1	MELO3C008660
MELO3C013361.1	MELO3C013361
MELO3C006179.1	MELO3C006179
MELO3C032684.1	MELO3C032684
MELO3C018351.1	MELO3C018351
MELO3C025420.1	MELO3C025420
MELO3C002168.1	MELO3C002168
MELO3C005077.1	MELO3C005077
MELO3C035182.1	MELO3C035182
MELO3C004713.1	MELO3C004713
MELO3C006044.1	MELO3C006044
MELO3C026909.1	MELO3C026909
MELO3C014475.1	MELO3C014475
MELO3C031135.1	MELO3C031135
MELO3C016022.1	MELO3C016022
MELO3C016967.1	MELO3C016967
MELO3C030555.1	MELO3C030555
MELO3C018749.1	MELO3C018749
MELO3C004613.1	MELO3C004613
MELO3C023702.1	MELO3C023702
MELO3C000737.1	MELO3C000737
MELO3C035111.1	MELO3C035111
MELO3C010499.1	MELO3C010499
MELO3C020019.1	MELO3C020019
MELO3C011279.1	MELO3C011279
MELO3C031570.1	MELO3C031570
MELO3C010986.1	MELO3C010986
MELO3C033464.1	MELO3C033464
MELO3C010328.1	MELO3C010328
MELO3C023773.1	MELO3C023773
MELO3C002655.1	MELO3C002655
MELO3C014375.1	MELO3C014375
MELO3C005564.1	MELO3C005564
MELO3C017224.1	MELO3C017224
MELO3C022101.1	MELO3C022101
MELO3C035469.1	MELO3C035469
MELO3C030906.1	MELO3C030906
MELO3C012194.1	MELO3C012194
MELO3C020490.1	MELO3C020490
MELO3C002181.1	MELO3C002181
MELO3C029180.1	MELO3C029180
MELO3C034531.1	MELO3C034531
MELO3C022359.1	MELO3C022359
MELO3C012346.1	MELO3C012346
MELO3C012781.1	MELO3C012781
MELO3C020964.1	MELO3C020964
MELO3C035246.1	MELO3C035246
MELO3C030081.1	MELO3C030081
MELO3C028903.1	MELO3C028903
MELO3C024840.1	MELO3C024840
MELO3C029431.1	MELO3C029431
MELO3C025555.1	MELO3C025555
MELO3C030432.1	MELO3C030432
MELO3C002755.1	MELO3C002755
MELO3C019840.1	MELO3C019840
MELO3C034953.1	MELO3C034953
MELO3C021034.1	MELO3C021034
MELO3C007569.1	MELO3C007569
MELO3C019405.1	MELO3C019405
MELO3C005851.1	MELO3C005851
MELO3C011830.1	MELO3C011830
MELO3C001330.1	MELO3C001330
MELO3C011343.1	MELO3C011343
MELO3C011092.1	MELO3C011092
MELO3C028974.1	MELO3C028974
MELO3C029167.1	MELO3C029167
MELO3C002532.1	MELO3C002532
MELO3C031757.1	MELO3C031757
MELO3C030332.1	MELO3C030332
MELO3C009240.1	MELO3C009240
MELO3C025133.1	MELO3C025133
MELO3C035146.1	MELO3C035146
MELO3C021592.1	MELO3C021592
MELO3C007346.1	MELO3C007346
MELO3C021257.1	MELO3C021257
MELO3C034518.1	MELO3C034518
MELO3C021692.1	MELO3C021692
MELO3C020306.1	MELO3C020306
MELO3C024353.1	MELO3C024353
MELO3C031857.1	MELO3C031857
MELO3C007246.1	MELO3C007246
MELO3C033751.1	MELO3C033751
MELO3C022459.1	MELO3C022459
MELO3C006144.1	MELO3C006144
MELO3C015542.1	MELO3C015542
MELO3C030068.1	MELO3C030068
MELO3C025878.1	MELO3C025878
MELO3C006789.1	MELO3C006789
MELO3C029754.1	MELO3C029754
MELO3C025707.1	MELO3C025707
MELO3C021521.1	MELO3C021521
MELO3C012294.1	MELO3C012294
MELO3C016309.1	MELO3C016309
MELO3C027473.1	MELO3C027473
MELO3C024927.1	MELO3C024927
MELO3C019142.1	MELO3C019142
MELO3C033117.1	MELO3C033117
MELO3C018825.1	MELO3C018825
MELO3C010639.1	MELO3C010639
MELO3C032824.1	MELO3C032824
MELO3C002492.1	MELO3C002492
MELO3C028587.1	MELO3C028587
MELO3C002308.1	MELO3C002308
MELO3C005288.1	MELO3C005288
MELO3C034689.1	MELO3C034689
MELO3C026722.1	MELO3C026722
MELO3C018004.1	MELO3C018004
MELO3C033938.1	MELO3C033938
MELO3C018462.1	MELO3C018462
MELO3C034255.1	MELO3C034255
MELO3C024106.1	MELO3C024106
MELO3C029267.1	MELO3C029267
MELO3C009814.1	MELO3C009814
MELO3C014299.1	MELO3C014299
MELO3C019505.1	MELO3C019505
MELO3C033504.1	MELO3C033504
MELO3C030208.1	MELO3C030208
MELO3C008700.1	MELO3C008700
MELO3C022061.1	MELO3C022061
MELO3C028516.1	MELO3C028516
MELO3C019118.1	MELO3C019118
MELO3C017711.1	MELO3C017711
MELO3C034618.1	MELO3C034618
MELO3C027402.1	MELO3C027402
MELO3C008197.1	MELO3C008197
MELO3C024177.1	MELO3C024177
MELO3C028540.1	MELO3C028540
MELO3C012457.1	MELO3C012457
MELO3C019987.1	MELO3C019987
MELO3C009427.1	MELO3C009427
MELO3C017758.1	MELO3C017758
MELO3C010341.1	MELO3C010341
MELO3C013935.1	MELO3C013935
MELO3C021381.1	MELO3C021381
MELO3C008947.1	MELO3C008947
MELO3C017324.1	MELO3C017324
MELO3C008584.1	MELO3C008584
MELO3C005604.1	MELO3C005604
MELO3C026793.1	MELO3C026793
MELO3C023039.1	MELO3C023039
MELO3C015366.1	MELO3C015366
MELO3C035322.1	MELO3C035322
MELO3C011319.1	MELO3C011319
MELO3C027449.1	MELO3C027449
MELO3C015729.1	MELO3C015729
MELO3C030479.1	MELO3C030479
MELO3C022746.1	MELO3C022746
MELO3C005675.1	MELO3C005675
MELO3C010915.1	MELO3C010915
MELO3C009838.1	MELO3C009838
MELO3C009651.1	MELO3C009651
MELO3C013524.1	MELO3C013524
MELO3C022172.1	MELO3C022172
MELO3C012410.1	MELO3C012410
MELO3C024377.1	MELO3C024377
MELO3C008173.1	MELO3C008173
MELO3C020717.1	MELO3C020717
MELO3C014028.1	MELO3C014028
MELO3C017982.1	MELO3C017982
MELO3C007422.1	MELO3C007422
MELO3C022535.1	MELO3C022535
MELO3C023697.1	MELO3C023697
MELO3C023286.1	MELO3C023286
MELO3C013137.1	MELO3C013137
MELO3C009064.1	MELO3C009064
MELO3C032297.1	MELO3C032297
MELO3C014415.1	MELO3C014415
MELO3C013895.1	MELO3C013895
MELO3C017184.1	MELO3C017184
MELO3C005017.1	MELO3C005017
MELO3C012370.1	MELO3C012370
MELO3C019229.1	MELO3C019229
MELO3C014686.1	MELO3C014686
MELO3C004126.1	MELO3C004126
MELO3C032350.1	MELO3C032350
MELO3C010165.1	MELO3C010165
MELO3C018075.1	MELO3C018075
MELO3C023215.1	MELO3C023215
MELO3C028727.1	MELO3C028727
MELO3C009698.1	MELO3C009698
MELO3C023426.1	MELO3C023426
MELO3C017571.1	MELO3C017571
MELO3C032026.1	MELO3C032026
MELO3C004450.1	MELO3C004450
MELO3C017500.1	MELO3C017500
MELO3C033188.1	MELO3C033188
MELO3C008971.1	MELO3C008971
MELO3C018438.1	MELO3C018438
MELO3C028998.1	MELO3C028998
MELO3C027262.1	MELO3C027262
MELO3C004397.1	MELO3C004397
MELO3C032784.1	MELO3C032784
MELO3C000403.1	MELO3C000403
MELO3C017671.1	MELO3C017671
MELO3C018662.1	MELO3C018662
MELO3C008102.1	MELO3C008102
